type,player_numbers,score,individual,shared_score,involvement_ratio,contributed_individual_score,contributed_shared_score,importance,coherence,freshness,nonmonotone
RandomPlayer,1,0.52,0.60,-0.08,1.50,0.60,-0.46,0.15,0.12,0.00,-0.72
Player1,1,0.51,0.59,-0.08,0.50,0.59,1.05,0.51,0.86,0.00,-0.32
