type,player_numbers,score,individual,shared_score,involvement_ratio,contributed_individual_score,contributed_shared_score,importance,coherence,freshness,nonmonotone
Player1,1,0.07,0.62,-0.55,0.06,0.18,0.36,0.16,0.20,0.00,0.00
RandomPlayer,1,0.02,0.57,-0.55,1.94,0.57,-0.61,0.12,0.07,0.00,-0.80
