type,player_numbers,score,individual,shared_score,involvement_ratio,contributed_individual_score,contributed_shared_score,importance,coherence,freshness,nonmonotone
RandomPlayer,1,0.49,0.63,-0.15,1.58,0.64,-0.48,0.15,0.10,0.00,-0.72
Player1,1,0.43,0.58,-0.15,0.42,0.59,1.09,0.57,0.83,0.00,-0.30
