type,player_numbers,score,individual,shared_score,involvement_ratio,contributed_individual_score,contributed_shared_score,importance,coherence,freshness,nonmonotone
SelfishGreedyPlayer,2,0.27,0.07,0.20,1.28,0.89,-0.64,0.12,0.00,0.00,-0.75
BayesTreeBeamMedium,4,0.26,0.05,0.20,1.52,0.56,-0.00,0.58,-0.58,0.00,0.00
BayesTreeBeamLow,2,0.25,0.05,0.20,1.44,0.57,0.96,0.63,0.33,0.00,0.00
RandomPlayer,2,0.25,0.04,0.20,0.96,0.74,-0.04,0.29,-0.17,0.00,-0.17
BayesTreeBeamHigh,2,0.22,0.02,0.20,0.80,0.47,0.67,0.47,0.20,0.00,0.00
SelflessGreedyPlayer,2,0.20,0.00,0.20,0.48,0.08,1.12,0.79,0.33,0.00,0.00
ZipperPlayer,2,0.20,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
