type,player_numbers,score,individual,shared_score,involvement_ratio,contributed_individual_score,contributed_shared_score,importance,coherence,freshness,nonmonotone
BayesTreeBeamHigh,2,0.22,0.07,0.15,1.60,0.66,0.16,0.56,-0.40,0.00,0.00
SelfishGreedyPlayer,2,0.21,0.05,0.15,0.96,0.88,-0.57,0.26,-0.17,0.00,-0.67
BayesTreeBeamMedium,4,0.20,0.05,0.15,1.36,0.53,0.18,0.65,-0.41,0.00,-0.06
BayesTreeBeamLow,2,0.19,0.04,0.15,0.80,0.74,0.40,0.60,-0.20,0.00,0.00
RandomPlayer,2,0.18,0.03,0.15,1.12,0.38,-0.45,0.26,-0.43,0.00,-0.29
ZipperPlayer,2,0.17,0.01,0.15,0.32,0.62,1.67,0.68,1.00,0.00,0.00
SelflessGreedyPlayer,2,0.16,0.01,0.15,0.48,0.27,1.43,0.43,1.00,0.00,0.00
