type,player_numbers,score,individual,shared_score,involvement_ratio,contributed_individual_score,contributed_shared_score,importance,coherence,freshness,nonmonotone
Player2,2,0.22,0.67,-0.45,0.10,0.10,0.16,0.06,0.10,0.00,0.00
Player1,2,0.20,0.64,-0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RandomPlayer,2,0.19,0.64,-0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Player7,2,0.19,0.64,-0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Player4,2,0.17,0.62,-0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Player9,2,0.16,0.61,-0.45,0.20,0.13,0.29,0.09,0.20,0.00,0.00
Player8,2,0.16,0.61,-0.45,0.70,0.26,0.23,0.16,0.15,0.00,-0.08
Player5,2,0.15,0.60,-0.45,7.90,0.62,-0.68,0.09,0.14,0.00,-0.91
Player6,2,0.14,0.59,-0.45,1.00,0.42,0.15,0.55,-0.40,0.00,0.00
Player10,2,0.12,0.57,-0.45,0.10,0.10,0.11,0.01,0.10,0.00,0.00
