type,player_numbers,score,individual,shared_score,involvement_ratio,contributed_individual_score,contributed_shared_score,importance,coherence,freshness,nonmonotone
BayesTreeBeamMedium,2,-0.16,0.09,-0.25,1.30,0.71,-0.19,0.43,-0.46,0.00,-0.15
RandomPlayer,8,-0.20,0.05,-0.25,0.92,0.58,-0.28,0.40,-0.54,0.00,-0.14
