type,player_numbers,score,individual,shared_score,involvement_ratio,contributed_individual_score,contributed_shared_score,importance,coherence,freshness,nonmonotone
BayesTreeBeamMedium,2,-0.10,0.07,-0.17,1.08,0.61,0.26,0.61,-0.33,0.00,-0.02
RandomPlayer,8,-0.12,0.05,-0.17,0.98,0.54,-0.28,0.40,-0.48,0.00,-0.20
