type,player_numbers,score,individual,shared_score,involvement_ratio,contributed_individual_score,contributed_shared_score,importance,coherence,freshness,nonmonotone
Player5,4,-0.20,0.66,-0.86,5.92,0.63,-0.67,0.03,0.15,0.00,-0.85
Player1,4,-0.22,0.64,-0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Player2,4,-0.24,0.62,-0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Player6,4,-0.25,0.61,-0.86,0.17,0.63,0.13,0.53,-0.40,0.00,0.00
Player10,2,-0.25,0.61,-0.86,0.03,0.02,0.11,0.01,0.10,0.00,0.00
Player7,4,-0.26,0.61,-0.86,0.02,0.06,0.12,0.02,0.10,0.00,0.00
Player8,2,-0.27,0.59,-0.86,0.07,0.03,0.04,0.04,0.05,0.00,-0.05
Player4,4,-0.29,0.57,-0.86,0.03,0.11,0.17,0.17,0.00,0.00,0.00
Player9,2,-0.31,0.55,-0.86,0.03,0.08,0.08,0.08,0.10,0.00,-0.10
RandomPlayer,4,-0.34,0.52,-0.86,2.29,0.21,-0.26,0.05,0.07,0.00,-0.37
