type,player_numbers,score,individual,shared_score,involvement_ratio,contributed_individual_score,contributed_shared_score,importance,coherence,freshness,nonmonotone
SelfishGreedyPlayer,2,0.06,0.07,-0.01,1.28,0.89,-0.71,0.04,0.00,0.00,-0.75
BayesTreeBeamMedium,4,0.05,0.06,-0.01,1.44,0.62,-0.11,0.56,-0.61,0.00,-0.06
BayesTreeBeamHigh,2,0.04,0.05,-0.01,1.12,0.71,0.06,0.63,-0.57,0.00,0.00
RandomPlayer,2,0.03,0.04,-0.01,0.96,0.60,-0.26,0.41,-0.50,0.00,-0.17
BayesTreeBeamLow,2,0.03,0.04,-0.01,0.96,0.60,0.36,0.53,-0.17,0.00,0.00
SelflessGreedyPlayer,2,0.01,0.02,-0.01,0.48,0.67,1.22,0.89,0.33,0.00,0.00
ZipperPlayer,2,0.00,0.01,-0.01,0.32,0.55,1.22,0.72,0.50,0.00,0.00
