type,player_numbers,score,individual,shared_score,involvement_ratio,contributed_individual_score,contributed_shared_score,importance,coherence,freshness,nonmonotone
BayesTreeBeamMedium,2,-0.04,0.08,-0.12,1.20,0.70,0.43,0.59,-0.17,0.00,0.00
RandomPlayer,8,-0.07,0.05,-0.12,0.95,0.51,-0.29,0.42,-0.45,0.00,-0.26
