type,player_numbers,score,individual,shared_score,involvement_ratio,contributed_individual_score,contributed_shared_score,importance,coherence,freshness,nonmonotone
Player2,1,0.79,0.43,0.79,0.74,0.64,1.10,0.51,0.47,0.15,-0.03
Player1,1,0.78,0.41,0.79,0.64,0.61,1.17,0.57,0.25,0.47,-0.11
