type,player_numbers,score,individual,shared_score,involvement_ratio,contributed_individual_score,contributed_shared_score,importance,coherence,freshness,nonmonotone
Player1,1,0.52,0.23,0.35,0.33,0.49,0.93,0.48,-0.65,1.10,0.00
Player2,1,0.51,0.23,0.35,0.45,0.57,0.80,0.60,-0.75,0.95,0.00
