type,player_numbers,score,individual,shared_score,involvement_ratio,contributed_individual_score,contributed_shared_score,importance,coherence,freshness,nonmonotone
BayesTreeBeamHigh,2,0.37,0.06,0.31,1.28,0.71,-0.00,0.75,-0.75,0.00,0.00
SelfishGreedyPlayer,2,0.36,0.05,0.31,0.96,0.83,-0.42,0.08,0.17,0.00,-0.67
BayesTreeBeamLow,2,0.36,0.05,0.31,1.12,0.66,0.38,0.81,-0.43,0.00,0.00
RandomPlayer,2,0.36,0.04,0.31,1.28,0.55,-0.41,0.34,-0.75,0.00,0.00
BayesTreeBeamMedium,4,0.35,0.04,0.31,1.12,0.57,0.60,0.60,0.00,0.00,0.00
SelflessGreedyPlayer,2,0.34,0.02,0.31,0.64,0.62,1.53,0.53,1.00,0.00,0.00
ZipperPlayer,2,0.33,0.02,0.31,0.48,0.60,1.44,0.77,0.67,0.00,0.00
