type,player_numbers,score,individual,shared_score,involvement_ratio,contributed_individual_score,contributed_shared_score,importance,coherence,freshness,nonmonotone
Player1,1,0.35,0.24,0.19,0.32,0.52,0.74,0.49,-0.80,1.05,0.00
Player6,1,0.35,0.23,0.19,0.46,0.58,0.22,0.62,-0.90,0.50,0.00
