type,player_numbers,score,individual,shared_score,involvement_ratio,contributed_individual_score,contributed_shared_score,importance,coherence,freshness,nonmonotone
SelfishGreedyPlayer,2,0.35,0.06,0.29,1.02,0.91,-0.48,0.12,0.07,0.00,-0.67
BayesTreeBeamMedium,4,0.34,0.05,0.29,1.35,0.59,0.34,0.62,-0.26,0.00,-0.02
BayesTreeBeamHigh,2,0.33,0.04,0.29,1.07,0.64,0.39,0.67,-0.28,0.00,0.00
BayesTreeBeamLow,2,0.33,0.04,0.29,1.06,0.65,0.48,0.69,-0.22,0.00,0.00
RandomPlayer,2,0.32,0.04,0.29,1.17,0.51,-0.12,0.39,-0.37,0.00,-0.13
SelflessGreedyPlayer,2,0.31,0.02,0.29,0.66,0.51,1.30,0.66,0.65,0.00,-0.02
ZipperPlayer,2,0.30,0.01,0.29,0.32,0.48,1.04,0.66,0.42,0.00,-0.03
