type,player_numbers,score,individual,shared_score,involvement_ratio,contributed_individual_score,contributed_shared_score,importance,coherence,freshness,nonmonotone
Player5,1,0.64,0.65,-0.01,2.35,0.78,-0.56,0.10,0.15,0.00,-0.81
Player8,1,0.58,0.59,-0.01,1.67,0.63,-0.23,0.17,0.24,0.00,-0.65
Player1,1,0.58,0.59,-0.01,0.42,0.61,1.02,0.57,0.69,0.07,-0.31
Player7,1,0.58,0.58,-0.01,0.40,0.69,1.30,0.47,0.74,0.13,-0.05
Player2,1,0.56,0.57,-0.01,0.47,0.62,1.07,0.50,0.65,0.00,-0.07
Player4,1,0.55,0.56,-0.01,0.46,0.59,1.19,0.56,0.66,0.12,-0.15
