type,player_numbers,score,individual,shared_score,involvement_ratio,contributed_individual_score,contributed_shared_score,importance,coherence,freshness,nonmonotone
SelfishGreedyPlayer,2,0.54,0.08,0.46,1.28,0.98,-0.40,0.10,0.25,0.00,-0.75
BayesTreeBeamLow,2,0.52,0.07,0.46,1.44,0.73,0.41,0.63,-0.22,0.00,0.00
BayesTreeBeamMedium,4,0.50,0.05,0.46,1.36,0.56,0.65,0.71,-0.06,0.00,0.00
BayesTreeBeamHigh,2,0.49,0.03,0.46,0.64,0.72,0.18,0.69,-0.50,0.00,0.00
RandomPlayer,2,0.48,0.02,0.46,0.96,0.38,0.47,0.63,0.00,0.00,-0.17
SelflessGreedyPlayer,2,0.48,0.02,0.46,0.64,0.55,1.48,0.73,0.75,0.00,0.00
ZipperPlayer,2,0.47,0.01,0.46,0.32,0.50,0.93,0.93,0.00,0.00,0.00
