type,player_numbers,score,individual,shared_score,involvement_ratio,contributed_individual_score,contributed_shared_score,importance,coherence,freshness,nonmonotone
BayesTreeBeamMedium,2,-0.16,0.06,-0.22,0.90,0.68,0.61,0.72,-0.11,0.00,0.00
RandomPlayer,8,-0.18,0.04,-0.22,1.02,0.43,-0.40,0.40,-0.59,0.00,-0.22
