type,player_numbers,score,individual,shared_score,involvement_ratio,contributed_individual_score,contributed_shared_score,importance,coherence,freshness,nonmonotone
SelfishGreedyPlayer,2,0.46,0.07,0.40,1.28,0.86,-0.41,0.09,0.25,0.00,-0.75
BayesTreeBeamHigh,2,0.45,0.05,0.40,1.12,0.76,0.74,0.59,0.14,0.00,0.00
BayesTreeBeamLow,2,0.44,0.04,0.40,1.12,0.62,0.42,0.70,-0.29,0.00,0.00
BayesTreeBeamMedium,4,0.44,0.04,0.40,1.28,0.52,0.67,0.67,0.00,0.00,0.00
SelflessGreedyPlayer,2,0.43,0.03,0.40,0.64,0.77,1.18,0.68,0.50,0.00,0.00
RandomPlayer,2,0.42,0.02,0.40,0.80,0.48,-0.48,0.32,-0.60,0.00,-0.20
ZipperPlayer,2,0.42,0.02,0.40,0.48,0.77,0.63,0.63,0.00,0.00,0.00
