type,player_numbers,score,individual,shared_score,involvement_ratio,contributed_individual_score,contributed_shared_score,importance,coherence,freshness,nonmonotone
RandomPlayer,8,-0.11,0.06,-0.17,1.10,0.57,-0.23,0.40,-0.48,0.00,-0.16
BayesTreeBeamMedium,2,-0.14,0.03,-0.17,0.60,0.49,0.28,0.61,-0.33,0.00,0.00
