type,player_numbers,score,individual,shared_score,involvement_ratio,contributed_individual_score,contributed_shared_score,importance,coherence,freshness,nonmonotone
BayesTreeBeamMedium,2,-0.04,0.12,-0.16,1.60,0.74,0.13,0.51,-0.31,0.00,-0.06
RandomPlayer,8,-0.11,0.05,-0.16,0.85,0.60,-0.30,0.44,-0.56,0.00,-0.18
